name,category,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6
Canadian Cherry,Whiskies,Maraschino liqueur,Canadian whisky,Maraschino liqueur,Fresh lemon juice,Orange juice,NA
Orange Smile,Cocktail Classics,Egg,Juice of Orange,Grenadine,NA,NA,NA
Purple Passion Iced Tea,Vodka,Vodka,Light Rum,Gin,Black raspberry liqueur,Simple Syrup,Fresh lemon juice and 3 oz
Canadian Breeze,Whiskies,Canadian whisky,Pineapple Juice,Fresh lemon juice,Maraschino liqueur,"Pineapple wedge, maraschino cherry",NA
Purple Passion,Vodka,Vodka,Grapefruit Juice,Concord grape juice,Simple Syrup,NA,NA
Cameron's Kick Cocktail,Whiskies,Blended Scotch Whiskey,Irish Whiskey,Fresh lemon juice,Orange Bitters,NA,NA
Georgia Mint Julep,Brandy,Mint sprigs,Simple Syrup,Brandy,Peach-flavored brandy,NA,NA
California Lemonade,Whiskies,Bourbon whiskey,Fresh lemon juice,Fresh Lime Juice,Simple Syrup,Grenadine,"Soda water, Orange and lemon wheels, maraschino cherry"
Boston Side Car,Cocktail Classics,Mr. Boston Five Star Brandy,Mr. Boston Rum,Mr. Boston Triple Sec,Juice of a Lime,NA,NA
Cablegram,Whiskies,Bourbon whiskey,Fresh lemon juice,Simple Syrup,Ginger ale,NA,NA
Bull And Bear,Whiskies,Bourbon whiskey,Orange curacao,Fresh lemon juice,Grenadine,NA,NA
Brooklyn,Whiskies,Rye or bourbon whiskey,Sweet Vermouth,Amer Picon or Torani Amer,Maraschino liqueur,NA,NA
Brighton Punch,Whiskies,Bourbon whiskey,Brandy,Benedictine,Orange juice,Fresh lemon juice,"Soda water, orange and lemon wheels"
Bourbon Renewal,Whiskies,Bourbon whiskey,Fresh lemon juice,Creme de Cassis,Simple Syrup,Angostura Bitters,NA
Bourbon Highball,Whiskies,Bourbon whiskey,Ginger ale or soda water,Lemon twist,NA,NA,NA
Bourbon And Elder,Whiskies,Bourbon whiskey,Elderflower liqueur,Angostura Bitters,Lemon twist,NA,NA
Bourbon Crusta,Whiskies,"Lemon wedge, superfine sugar,  Long, wide spiral of orange zest",Bourbon whiskey,Triple Sec,Maraschino liqueur,Fresh lemon juice,Orange Bitters
Bourbon Cooler,Whiskies,Bourbon whiskey,Fresh lemon juice,Grapefruit Juice,Orgeat Syrup,NA,NA
Froupe Cocktail,Brandy,Brandy,Sweet Vermouth,Benedictine,NA,NA,NA
Bourbon A La Creme,Whiskies,Bourbon whiskey,Dark creme de cacao,Vanilla liqueur,NA,NA,NA
The Bone,Whiskies,Bourbon whiskey,Fresh Lime Juice,Simple Syrup,Hot red pepper sauce,NA,NA
Bobby Burns Cocktail,Whiskies,Blended Scotch Whiskey,Sweet Vermouth,Benedictine,Lemon twist,NA,NA
Bloody Scotsman,Whiskies,"Smoky Scotch whisky, such as Laphroaig",Tomato Juice,V8 cocktail juice,ketchup,Fresh Lime Juice,"Simple Syrup, 3/4 oz"
White Cargo Cocktail,Cocktail Classics,Vanilla Ice Cream,Mr. Boston Gin,NA,NA,NA,NA
Blood and Sand,Whiskies,Blended Scotch Whiskey,cherry-flavored brandy,Sweet Vermouth,Orange juice,NA,NA
The Blinker,Whiskies,Straight rye whisky,Grapefruit Juice,Raspberry Syrup,Grapefruit twist or skewered raspberry,NA,NA
Pike's Peak Cooler,Cocktail Classics,Cider,Juice of a Lemon,Powdered Sugar,Whole Egg,NA,NA
Blarney Stone Cocktail,Whiskies,Irish Whiskey,Anisette,Triple Sec,Maraschino liqueur,Angostura Bitters,"Orange twist, green olive"
Pacman,Cocktail Classics,Lemon Juice,Grenadine,Bitters,Ginger ale,NA,NA
Lemonade (Golden),Cocktail Classics,Juice of a Lemon,Powdered Sugar,Egg Yolk,Water,NA,NA
Black Hawk,Whiskies,Bourbon whiskey,Sloe gin,Maraschino cherry,NA,NA,NA
Lemonade (Egg),Cocktail Classics,Juice of a Lemon,Powdered Sugar,Whole Egg,NA,NA,NA
Bensonhurst,Whiskies,Cynar,Straight rye whiskey,Dry Vermouth,Maraschino liqueur,NA,NA
Chocolate Daisy,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Grenadine,Brandy,Port,NA
The Beautiful Day,Whiskies,Irish Whiskey,Rhubarb Syrup,Cold brewed green tea,Edible flowers,NA,NA
French Quarter,Brandy,Brandy,Lillet Blanc,Lemon quarter-wheel,NA,NA,NA
Creme de Gin Cocktail,Cocktail Classics,Gin,White creme de menthe,Egg White,Lemon Juice,Orange Juice,NA
Creamy Screwdriver,Cocktail Classics,Vodka,Egg Yolk,Orange Juice,Sugar,NA,NA
Creamy Orange,Cocktail Classics,Orange Juice,Cream sherry,Brandy,Light cream,NA,NA
Creamsicle,Cocktail Classics,Vanilla liqueur,Milk,Orange Juice,NA,NA,NA
Cowboy Cocktail,Cocktail Classics,Blended whiskey,Light cream,NA,NA,NA,NA
Beals Cocktail,Whiskies,Blended Scotch Whiskey,Dry Vermouth,Sweet Vermouth,NA,NA,NA
Coronation Cocktail,Cocktail Classics,Gin,Dubonnet,Dry Vermouth,NA,NA,NA
Cornell Cocktail,Cocktail Classics,Lemon Juice,Maraschino,Egg White,Gin,NA,NA
Combo,Cocktail Classics,Dry Vermouth,Brandy,Triple Sec,Powdered Sugar,Bitters,NA
Basin Street,Whiskies,Bourbon whiskey,Triple Sec,Fresh lemon juice,NA,NA,NA
Cole's Raspberry Cream,Cocktail Classics,Raspberry Yogurt,Raspberry Ice Cream,White creme de cacao,Vodka,Heavy cream,NA
Cognac Coupling,Cocktail Classics,Cognac,Tawny port,Anis,Lemon Juice,NA,NA
Coffee Sour,Cocktail Classics,Coffee-flavored brandy,Lemon Juice,Powdered Sugar,Egg White,NA,NA
Coffee Flip,Cocktail Classics,Whole Egg,Powdered Sugar,Brandy,Port,Light Cream (if desired),NA
Coffee Cocktail,Cocktail Classics,Whole Egg,Powdered Sugar,Port,Brandy,NA,NA
Purple Mask,Vodka,Vodka,Concord grape juice,White creme de cacao,NA,NA,NA
Clove Cocktail,Cocktail Classics,Sweet Vermouth,Sloe gin,Muscatel Wine,NA,NA,NA
Clover Leaf Cocktail,Cocktail Classics,Juice of a Lime,Grenadine,Egg White,Gin,NA,NA
Clover Club Cocktail,Cocktail Classics,Juice of a Lemon,Grenadine,Egg White,Gin,NA,NA
Priority Cocktail,Vodka,Vodka,Calvados,Coffee liqueur,Lemon twist,NA,NA
Clamato Cocktail,Cocktail Classics,Vodka,Clam Juice,Tomato Juice,NA,NA,NA
Cider Eggnog,Cocktail Classics,Whole Egg,Powdered Sugar,Milk,NA,NA,NA
Chocolate Soldier,Cocktail Classics,Juice of a Lime,Dubonnet,Gin,NA,NA,NA
Chocolate Flip,Cocktail Classics,Whole Egg,Powdered Sugar,Sloe gin,Brandy,Light Cream (if desired),NA
Chocolate Cocktail,Cocktail Classics,Port,Yellow Chartreuse,Egg Yolk,Powdered Sugar,NA,NA
Chicago Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Egg White,Port,Light Rum,NA
Pretty In Pink,Vodka,Vodka,Cranberry Juice,Creme de noyaux,Fresh lemon juice,NA,NA
Cherry Wine Cocktail,Cocktail Classics,Danish Cherry Wine,Vodka,Juice of a Lime,NA,NA,NA
Cherry Flip,Cocktail Classics,Whole Egg,Powdered Sugar,cherry-flavored brandy,Light Cream (if desired),NA,NA
Cherry Cooler,Cocktail Classics,Cherry Vodka,Cola,NA,NA,NA,NA
Polynesian Cocktail,Vodka,"Lime wedge, superfine sugar",Vodka,cherry-flavored brandy,Fresh Lime Juice,NA,NA
Chateau Briand's Rum Cow,Cocktail Classics,Dark rum,Sugar,Bitters,Milk,NA,NA
Champagne Velvet,Cocktail Classics,Chilled Stout,Chilled Champagne,NA,NA,NA,NA
Pink Pussycat,Vodka,Vodka,Pineapple or grapefruit juice,Grenadine,NA,NA,NA
Back Porch Swizzle,Whiskies,Bourbon whiskey,Dry Vermouth,Pineapple Juice,Ginger beer,NA,Fresh mint sprig
Canadian Pineapple,Cocktail Classics,Canadian whisky,Pineapple Juice,Lemon Juice,Maraschino,NA,NA
Calm Voyage,Cocktail Classics,Strega,Light Rum,Passion Fruit Syrup,Lemon Juice,Egg White,NA
Pink Lemonade,Vodka,Citrus-flavored vodka,Triple Sec,Fresh Lime Juice,Fresh lemon juice,Simple Syrup,"Cranberry Juice, lemon wheel"
Caledonia,Cocktail Classics,Creme de Cacao (Brown),Brandy,Milk,Egg Yolk,NA,NA
Caf_ di Amaretto,Cocktail Classics,Hot Black Coffee,Amaretto,Whipped cream,NA,NA,NA
Cafe De Paris Cocktail,Cocktail Classics,Egg White,Anis,Light cream,Gin,NA,NA
Aztec's Mark,Whiskies,Bourbon whiskey,White creme de cacao,Benedictine,Hot red pepper sauce,NA,NA
Fontainebleau Special,Brandy,Brandy,Anisette,Dry Vermouth,NA,NA,NA
Suntan,Cocktail Classics,Hot Shot Tropical Fruit Liqueur,Orange Juice,NA,NA,NA,NA
Sunburn,Cocktail Classics,Hot Shot Tropical Fruit Liqueur,Grapefruit Juice,NA,NA,NA,NA
Suissesse Cocktail,Cocktail Classics,Anisette,Egg White,NA,NA,NA,NA
Strawberry Sunries,Cocktail Classics,Strawberry schnapps,Grenadine,NA,NA,NA,NA
Autumn Leaves,Whiskies,Straight rye whiskey,Apple Brandy,Sweet Vermouth,Strega,Angostura Bitters,Orange twist
Pickled Pink,Vodka,Vodka,Aquavit,Dill pickle brine,Angostura Bitters,NA,NA
Aquarius,Whiskies,Blended Scotch Whiskey,cherry-flavored brandy,Cranberry Juice,NA,NA,NA
Soul Kiss Cocktail,Cocktail Classics,Orange Juice,Dubonnet,Dry Vermouth,Bourbon,NA,NA
Pickled Martini,Vodka,Vodka,Dry Vermouth,Sweet pickle brine,Sweet pickle slice,NA,NA
Sloe Gin Flip,Cocktail Classics,Whole Egg,Powdered Sugar,Sloe gin,Light Cream (if desired),NA,NA
Angel's Share,Whiskies,Bourbon whiskey,Amaro,Creme de Cassis,Orange Bitters,NA,NA
Silver Stallion Fizz,Cocktail Classics,Vanilla Ice Cream,Gin,Carbonated Water,NA,NA,NA
Silver King Cocktail,Cocktail Classics,Egg White,Juice of a Lemon,Gin,Powdered Sugar,Orange Bitters,NA
American Trilogy,Whiskies,"Brown sugar cube, such as Demerara",Straight rye whiskey,Applejack,Orange twist,NA,NA
Silver Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Gin,Egg White,NA,NA
Sherry Twist Cocktail,Cocktail Classics,Cream sherry,Brandy,Dry Vermouth,Triple Sec,Lemon Juice,NA
Sherry Sangaree,Cocktail Classics,Powdered Sugar,Water,Cream sherry,Carbonated Water,Port,NA
Sherry Milk Punch,Cocktail Classics,Powdered Sugar,Cream sherry,NA,NA,NA,NA
Petit Zinc,Vodka,Vodka,Triple Sec,Sweet Vermouth,Orange juice,NA,NA
Sherry Flip,Cocktail Classics,Whole Egg,Powdered Sugar,Cream sherry,Light Cream (if desired),NA,NA
Sherry-and-Egg Cocktail,Cocktail Classics,NA,cream sherry,NA,NA,NA,NA
Americana,Whiskies,Tennessee whiskey,Simple Syrup,Angostura Bitters,Chilled American sparkling wine,NA,NA
Allegheny,Whiskies,Bourbon whiskey,Dry Vermouth,Blackberry-flavored brandy,Fresh lemon juice,NA,NA
Sevilla Cocktail,Cocktail Classics,Powdered Sugar,Whole Egg,Port,Light Rum,NA,NA
September Morn Cocktail,Cocktail Classics,Egg White,Light Rum,Juice of a Lime,Grenadine,NA,NA
Peach Iced Tea,Vodka,Peach-flavored vodka,Orange curacao,Fresh lemon juice,Honey Syrup,Iced tea,"Peach slice, lemon wheel"
Fantasio Cocktail,Brandy,Brandy,Dry Vermouth,White creme de menthe,Maraschino liqueur,NA,NA
Scotch Bird Flyer,Cocktail Classics,Scotch,Egg Yolk,Triple Sec,Powdered Sugar,Light cream,NA
Algonquin,Whiskies,Straight rye whiskey,Dry Vermouth,Pineapple Juice,NA,NA,NA
Savannah,Cocktail Classics,Juice of Orange,Gin,White creme de cacao,Egg White,NA,NA
Pink Rose Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Egg White,Light cream,Gin,NA
Ninotchka Cocktail,Vodka,Vodka,White creme de cacao,Fresh lemon juice,NA,NA,NA
Prairie Oyster,Cocktail Classics,Brandy,Worcestershire Sauce,Catsup,Vinegar,Pepper,NA
Prairie Chicken,Cocktail Classics,Gin,Whole Egg,Pepper and Salt,NA,NA,NA
Pousse L'Amour,Cocktail Classics,Maraschino,Egg Yolk,Benedictine,Brandy,NA,NA
Puerto Apple,Cocktail Classics,Applejack,Light Rum,Lime Juice,Orgeat Syrup,NA,NA
Akogare,Whiskies,Straight rye whiskey,Ginger syrup,"Cold brewed black tea, preferably Japanese",Fresh lemon juice,NA,NA
Prado,Cocktail Classics,Tequila,Lemon Juice,Maraschino,Egg White,Grenadine,NA
Port Wine Flip,Cocktail Classics,Whole Egg,Powdered Sugar,Port,Light Cream (if desired),NA,NA
Port Wine Cobbler,Cocktail Classics,powdered sugar,carbonated water,shaved ice,port,NA,NA
Nijinksy Blini,Vodka,Vodka,Peach schnapps,Peach puree,Fresh lemon juice,NA,NA
Affinity Cocktail (whisky),Whiskies,Blended Scotch Whiskey,Dry Vermouth,Sweet Vermouth,Orange Bitters,NA,NA
Plain Vermouth Cocktail,Cocktail Classics,Dry Vermouth,Sweet Vermouth,Orange Bitters,NA,NA,NA
Ping-Pong Cocktail,Cocktail Classics,Juice of a Lemon,Egg White,Sloe gin,NA,NA,NA
Moscow Mule,Vodka,Vodka,Fresh Lime Juice,Ginger beer,Lime wedge,NA,NA
Phoebe Snow,Cocktail Classics,Dubonnet,Brandy,Anis,NA,NA,NA
Affinity Cocktail,Whiskies,Straight rye whiskey,Maraschino liqueur,Fresh lemon juice,Orange Bitters,NA,NA
Peggy Cocktail,Cocktail Classics,Dry Vermouth,Gin,Anis,Dubonnet,NA,NA
Peach Blow Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Light cream,Gin,Peach,NA
Peach Blossom,Cocktail Classics,Lemon Juice,Powdered Sugar,Gin,Peach,NA,NA
Passion Mimosa,Cocktail Classics,Chilled Passion Fruit Juice,Chilled Champagne,NA,NA,NA,NA
Mocha Express,Vodka,Vodka,Irish cream liqueur,Coffee liqueur,Cold brewed espresso coffee,NA,NA
Palmer Cocktail,Cocktail Classics,Blended whiskey,Bitters,Lemon Juice,NA,NA,NA
Mr. 404,Vodka,Vodka,Elderflower liqueur,Fresh lemon juice,Simple Syrup,Aperol,Orange twist
Mountain Cocktail,Cocktail Classics,Egg White,Lemon Juice,Dry Vermouth,Sweet Vermouth,Blended whiskey,NA
Morning Glory Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Egg White,Anis,Scotch,NA
Adderly Cocktail,Whiskies,Straight rye whiskey,Maraschino liqueur,Orange Bitters,Fresh lemon juice,NA,NA
Fancy Brandy,Brandy,Brandy,Triple Sec,Simple Syrup,Angostura Bitters,NA,NA
Montreal Gin Sour,Cocktail Classics,Gin,Lemon Juice,Egg White,Powdered Sugar,NA,NA
Montezuma,Cocktail Classics,Tequila,Madeira,Egg Yolk,Crushed ice,NA,NA
Miss Jones,Vodka,Vanilla-flavored vodka,Fresh lemon juice,Butterscotch schnapps,Limoncello,NA,NA
Mint Gin Cocktail,Cocktail Classics,Mint-Flavored Gin,White Port Wine,Dry Vermouth,NA,NA,NA
Mint Collins,Cocktail Classics,Juice of a Lemon,Mint-Flavored Gin,NA,NA,NA,NA
Million-Dollar Cocktail,Cocktail Classics,Pineapple Juice,Grenadine,Egg White,Sweet Vermouth,Gin,NA
Millionaire Cocktail,Cocktail Classics,Egg White,Grenadine,Triple Sec,Blended whiskey,NA,NA
Academic Review,Whiskies,Irish Whiskey,Applejack,Amaro Nonino,Rye Whiskey,Demerara Syrup,Mole bitters 1 oz
Milk Punch,Cocktail Classics,Powdered Sugar,Blended whiskey,Milk,NA,NA,NA
Merry Widow Fizz,Cocktail Classics,Juice of Orange,Juice of a Lemon,Egg White,Powdered Sugar,Sloe gin,NA
May Blossom Fizz,Cocktail Classics,Grenadine,Juice of a Lemon,Swedish Punch,NA,NA,NA
Mary Garden Cocktail,Cocktail Classics,Dubonnet,Dry Vermouth,NA,NA,NA,NA
19th Century,Whiskies,Bourbon whiskey,Fresh lemon juice,White creme de cacao,Lillet Rouge,NA,NA
Manila Fizz,Cocktail Classics,Gin,Whole Egg,Powdered Sugar,Root Beer,Juice of a Lime,NA
1626,Whiskies,Bourbon whiskey,Gingerbread liqueur,cherry-flavored brandy,Angostura Bitters,Italian preserved cherry,NA
Maracuya Mosquito,Vodka,Fresh basil leaves,Vodka,Green Chartreuse,Fresh Lime Juice,Simple Syrup,"Passion Fruit Juice, basil leaf"
Madras,Vodka,Vodka,Cranberry Juice,Orange juice,Lime wedge,NA,NA
Absinthe Cocktail,Cocktail Classics,Absinthe Substitute,Water,Old Mr. Boston Anisette,Orange Bitters,NA,NA
Lychee Lucy,Vodka,Vodka,Lychee liqueur,Fresh orange juice,Pineapple Juice,Angostura Bitters,Canned pitted lychee nut stuffed with a small pineapple leaf
Vodka Martini,Cocktail Classics,Mr. Boston Vodka,Dry Vermouth,NA,NA,NA,NA
The Loop,Vodka,Black cherry-flavored vodka,White creme de cacao,Chile Syrup,Grated bittersweet chocolate,NA,NA
Long Island Iced Tea,Vodka,Vodka,Blanco tequila,Gin,Light Rum,Triple Sec,"Simple Syrup, 1/2 oz"
Fallen Leaves,Brandy,Calvados,Sweet Vermouth,Dry Vermouth,Brandy,NA,NA
L'italienne,Vodka,Vodka,Lillet Blanc,Ramazzotti Amaro,Orange Bitters,NA,NA
Rum Dubonnet,Cocktail Classics,Light Rum,Dubonnet,Lemon Juice,NA,NA,NA
Ruby Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Egg White,Grenadine,Sloe gin,NA
Limoncello Manzanilla Marmalade Sour,Vodka,Citrus-flavored vodka,Limoncello,Manzanilla sherry,Fresh lemon juice,Grapefruit marmalade,Orange twist
Royal Purple Punch,Cocktail Classics,red wine,ginger ale,lemon,whole cloves,NA,NA
Royal Gin Fizz,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Gin,Whole Egg,NA,NA
Royal Cocktail,Cocktail Classics,Whole Egg,Juice of a Lemon,Powdered Sugar,Gin,NA,NA
Royal Clover Club Cocktail,Cocktail Classics,Juice of a Lime,Grenadine,Egg Yolk,Gin,NA,NA
Lights On The Plaza,Vodka,"Cucumber slices, chopped",Fresh lemon juice,Simple Syrup,Acai berry flavored vodka,Black raspberry liqueur,"Sparkling wine, raspberry and cucumber"
Rococo,Cocktail Classics,Cherry Vodka,Orange Juice,Triple Sec,NA,NA,NA
Rock & Rye Cooler,Cocktail Classics,Rock and Rye,Vodka,Lime Juice,Bitter lemon soda,NA,NA
Rock & Rye Cocktail,Cocktail Classics,Rock and Rye,White Port Wine,Dry Vermouth,NA,NA,NA
Le Paradini,Vodka,Vodka,Raspberry-flavored liqueur,Grand Marnier,Chilled Champagne,NA,NA
Red Swizzle,Cocktail Classics,Juice of a Lime,Powdered Sugar,Carbonated Water,Gin,Bitters,Grenadine
Lemon Drop,Vodka,"Lemon wedge, superfine sugar",lemon-flavored vodka,Fresh lemon juice,Simple Syrup,NA,NA
Rebel Charge,Cocktail Classics,Bourbon,Triple Sec,Orange Juice,Lemon Juice,Egg White,NA
Rattlesnake Cocktail,Cocktail Classics,Blended whiskey,Egg White,Lemon Juice,Powdered Sugar,Anis,NA
Ramos Fizz,Cocktail Classics,Juice of a Lemon,Egg White,Powdered Sugar,Gin,Light cream,Triple Sec
San Francisco,Cocktail Classics,Sloe gin,Sweet Vermouth,Dry Vermouth,Bitters,Orange Bitters,NA
Sand-Martini Cocktail,Cocktail Classics,Green Chartreuse,Sweet Vermouth,Gin,NA,NA,Sake
Sake Martini (Sakini),Cocktail Classics,Sake,Gin,NA,NA,NA,NA
Lemon Crush,Vodka,"Lemon wedge, superfine sugar",Citrus-flavored vodka,Crema di limoncello,Triple Sec,Fresh lemon juice,NA
Rye Whiskey Cocktail,Cocktail Classics,Bitters,Powdered Sugar,Rye Whiskey,NA,NA,NA
Leaves Of Grass,Vodka,Aquavit,Old Tom gin,Demerara Syrup,Orange Bitters,Absinthe,Celery stick
Widow's Dream,Cocktail Classics,Benedictine,Whole Egg,NA,NA,NA,NA
Whiskey Flip,Cocktail Classics,Whole Egg,Powdered Sugar,Blended whiskey,Light Cream (if desired),NA,NA
L.A. Sunrise,Vodka,Vodka,Creme de banana,Fresh orange juice,Pineapple Juice,Dark rum,"Lime wheel, maraschino cherry"
White Rose Cocktail,Cocktail Classics,Gin,Orange Juice,Juice of a Lime,Maraschino,Egg White,NA
White Plush,Cocktail Classics,Blended whiskey,Milk,Powdered Sugar,NA,NA,NA
White Elephant,Cocktail Classics,Gin,Sweet Vermouth,Egg White,NA,NA,NA
Whiskey Toddy (cold),Cocktail Classics,Powdered Sugar,Water,Blended whiskey,NA,NA,NA
Kretchma Cocktail,Vodka,Vodka,White creme de cacao,Fresh lemon juice,Grenadine,NA,NA
Whiskey Skin,Cocktail Classics,lump of sugar,boiling water,blended whiskey,lemon peel,NA,NA
Whiskey Milk Punch,Cocktail Classics,Powdered Sugar,Blended whiskey,NA,NA,NA,NA
Katana,Vodka,Cucumber slices,Vodka,Sake,Fresh Lime Juice,Simple Syrup,Cucumber
Ethel Duffy Cocktail,Brandy,Apricot-Flavored Brandy,White creme de menthe,Triple Sec,NA,NA,NA
Daiquiri,Cocktail Classics,Light Rum,Fresh Lime Juice,Simple Syrup,NA,NA,NA
Wembley Cocktail,Cocktail Classics,Dry Vermouth,Gin,Apricot-Flavored Brandy,Apple Brandy,NA,NA
Weep-No-More Cocktail,Cocktail Classics,Juice of a Lime,Dubonnet,Brandy,Maraschino,NA,NA
Jungle Juice,Vodka,Vodka,Light Rum,Triple Sec,"each Cranberry Juice, orange juice, pineapple juice, lemon juice",Simple Syrup,"Orange wheel, maraschino cherry"
Wedding Belle Cocktail,Cocktail Classics,Orange Juice,cherry-flavored brandy,Gin,Dubonnet,NA,NA
Waterloo,Cocktail Classics,Light Rum,Orange Juice,Mandarine Napoleon Liqueur,NA,NA,NA
Waterbury Cocktail,Cocktail Classics,Powdered Sugar,Juice of a Lemon,Egg White,Brandy,Grenadine,NA
Washington Cocktail,Cocktail Classics,Dry Vermouth,Brandy,Bitters,Sugar Syrup,NA,NA
The Jamaican Ten Speed,Vodka,Vodka,Melon liqueur,Creme de banana,Coconut-flavored rum,half-and-half,NA
Twin Six Cocktail,Cocktail Classics,Gin,Sweet Vermouth,Grenadine,Orange Juice,Egg White,NA
Jackie-O,Vodka,"Lime wedge, pink sanding sugar",each Citrus-flavored vodka and orange-flavored vodka,Creme de Cassis,Apricot nectar,each Fresh lemon juice and cranberry juice,"Chilled Champagne,  Orange half-wheel, lime wheel"
Tropical Heart,Cocktail Classics,Hot Shot Tropical Fruit Liqueur,Hot Apple Cider,NA,NA,NA,NA
Trois Rivieres,Cocktail Classics,Canadian whisky,Dubonnet,Triple Sec,NA,NA,NA
Tovarich Cocktail,Cocktail Classics,Vodka,Kummel,Juice of a Lime,NA,NA,NA
Italian Screwdriver,Vodka,"Lime wedge, superfine sugar",Citrus-flavored vodka,Orange juice,Grapefruit Juice,Ginger ale,Lime wheel
T.N.T. Cocktail No. 2,Cocktail Classics,Tequila,Tonic,NA,NA,NA,NA
T.N.T. Cocktail No. 1,Cocktail Classics,Blended whiskey,Anis,NA,NA,NA,NA
Ibiza,Vodka,Orange-flavored vodka,Campari,Grapefruit Juice,Pomegranate molasses,Peach schnapps,"Apple schnapps, grapefruit twist"
Thunder,Cocktail Classics,Powdered Sugar,Egg Yolk,Brandy,Cayenne Pepper,NA,NA
Huntsman Cocktail,Vodka,Vodka,Jamaica Rum,Fresh Lime Juice,Simple Syrup,NA,NA
Tequila Fizz,Cocktail Classics,Tequila,Grenadine,Lemon Juice,Egg White,NA,NA
Humpty Dumpty,Vodka,Vodka,Orange juice,Galliano,Whole Egg,Peychaud's Bitters,NA
Tequila Cocktail,Cocktail Classics,Tequila,Juice of a Lemon,Grenadine,Egg White,NA,NA
Temptation Cocktail,Cocktail Classics,Blended whiskey,Triple Sec,Anis,Dubonnet,NA,NA
Tchoupitolas Street Guzzle,Cocktail Classics,Light Rum,Ginger beer,NA,NA,NA,NA
Tahitian Tea,Cocktail Classics,Gin,Light Rum,Vodka,Hot Shot Tropical Fruit Liqueur,7-Up,each Cranberry Juice and orange juice
Limey,Cocktail Classics,Light Rum,Lime Liqueur,Triple Sec,Lime Juice,NA,NA
Headless Horseman,Vodka,Vodka,Angostura Bitters,Ginger ale,NA,NA,NA
Love Cocktail,Cocktail Classics,Sloe gin,Egg White,Lemon Juice,Raspberry Juice,NA,NA
Los Angeles Cocktail,Cocktail Classics,Juice of a Lemon,Powdered Sugar,Whole Egg,Sweet Vermouth,Blended whiskey,NA
Long Island Tea,Cocktail Classics,Vodka,Gin,Light Rum,Tequila,Juice of a Lemon,NA
Harvey Wallbanger,Vodka,Vodka,Fresh orange juice,Galliano,NA,NA,NA
Lime Giant,Cocktail Classics,Lime Vodka,Lemon-lime soda,NA,NA,NA,NA
Lil Naue,Cocktail Classics,Brandy,Port,Apricot-Flavored Brandy,Powdered Sugar,Egg Yolk,NA
Harrington,Vodka,Vodka,Triple Sec,Green Chartreuse,NA,NA,NA
El Profesor,Brandy,Pisco,Punt e Mes,Benedictine,Aromatic bitters,Lemon twist,NA
Leap Year Cocktail,Cocktail Classics,Gin,Orange Flavored Gin,Sweet Vermouth,Lemon Juice,NA,NA
Lasky Cocktail,Cocktail Classics,Grape Juice,Swedish Punch,Gin,NA,NA,NA
Lady Love Fizz,Cocktail Classics,Powdered Sugar,Juice of a Lemon,Egg White,Gin,Light cream,NA
Handball Cooler,Vodka,Vodka,Soda water,Orange juice,NA,NA,NA
Hyatt's Jamaican Banana,Cocktail Classics,Light Rum,White creme de cacao,Creme de banana,Vanilla Ice Cream,half-and-half,Banana
H.P.W. Cocktail,Cocktail Classics,Dry Vermouth,Sweet Vermouth,Gin,NA,NA,NA
Hot Shot Margarita,Cocktail Classics,Tequila,Hot Shot Tropical Fruit Liqueur,Lemon or Lime Juice,NA,NA,NA
The Groupie,Vodka,Lemon wedges,Superfine sugar,Citrus-flavored vodka,NA,NA,NA
Hot Brandy Flip,Cocktail Classics,Whole Egg,Powdered Sugar,Brandy,NA,NA,NA
Grape Nehi,Vodka,Vodka,Raspberry-flavored liqueur,Fresh lemon juice,NA,NA,NA
Hole-in-One Cocktai,Cocktail Classics,Scotch,Vermouth,Lemon Juice,Orange Bitters,NA,NA
Grapefruit Gimlet Royale,Vodka,Vodka,Fresh grapefruit juice,Fresh Lime Juice,Simple Syrup,Chilled Champagne,NA
Hair Raiser,Cocktail Classics,100-proof Vodka,Rock and Rye,Lemon Juice,NA,NA,NA
Godmother,Vodka,Vodka,Amaretto,NA,NA,NA,NA
Green Opal,Cocktail Classics,Gin,Anisette,Anis,NA,NA,NA
Green Hornet (Dry),Cocktail Classics,Lime Vodka,Lemon-lime soda,NA,NA,NA,Powdered Sugar
Green Fizz,Cocktail Classics,Powdered Sugar,Egg White,Juice of a Lemon,Gin,Green creme de menthe,NA
Godchild,Vodka,Vodka,Amaretto,Heavy cream,NA,NA,NA
Grape Vodka Froth,Cocktail Classics,Vodka,Grape Juice,Egg White,Lemon Juice,NA,NA
Grapefruit Nog,Cocktail Classics,Brandy,Grapefruit Juice,Lemon Juice,Honey,Whole Egg,NA
Golden Slipper,Cocktail Classics,Yellow Chartreuse,Apricot-Flavored Brandy,NA,NA,NA,NA
